movieUrl,movieTitle,rowIndex,listedFullName,profileFullName,name,surname,fullName,sourcePage,profileVisited,profileUrl,matchStatus,status,errorMessage,titleScreenshotPath,castSectionScreenshotPath,rowScreenshotPath,profileScreenshotPath,stepName
https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,The Shawshank Redemption (1994),1,Tim Robbins,Tim Robbins,Tim,Robbins,Tim Robbins,profile,1,https://www.imdb.com/name/nm0000209/,matched,passed,,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_title.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_cast_section.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_row_1_selected.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_row_1_profile.png,TITLE_CAST_PROFILE_FLOW
https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,The Shawshank Redemption (1994),2,Morgan Freeman,Morgan Freeman,Morgan,Freeman,Morgan Freeman,profile,1,https://www.imdb.com/name/nm0000151/,matched,passed,,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_title.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_cast_section.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_row_2_selected.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_row_2_profile.png,TITLE_CAST_PROFILE_FLOW
https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,The Shawshank Redemption (1994),3,Bob Gunton,Bob Gunton,Bob,Gunton,Bob Gunton,profile,1,https://www.imdb.com/name/nm0348409/,matched,passed,,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_title.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_cast_section.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_row_3_selected.png,/home/iotiq/imdb-automation-demo/imdb-automation-demo/output/screenshots/The_Shawshank_Redemption_(1994)_row_3_profile.png,TITLE_CAST_PROFILE_FLOW
